body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
0.011240	2.102682	0.937323	0.190486	0.053880	-0.018880	0.980029	0.109252	0.307892	0.017726	0.594769	-0.479525	-0.044899	-0.080917	0.249994	-0.191614	0.673975	-0.414783	0.077257	-0.163592	-1.186850	-0.182849	-1.151686	-1.507398	-0.091408	0.412770	0.000000	-1.018189	-0.544855	0.306634	-1.491879	0.139473	-0.423437	0.000000	-0.006478	-0.379162	0.170954	0.094697	0.074384	0.070009	0.050179	-0.327620	0.330431	0.154169	-0.025601	-0.210884	-0.466092	-0.557551	-0.107987	0.345507	0.124478	0.101948	0.064528	0.000000	1.531239	1.323736	-0.758679	0.758091	-0.254228	-0.263985	0.000000
0.010211	2.102459	0.936859	0.186111	0.055917	-0.019133	0.980750	0.108713	0.299434	0.020392	0.597707	-0.477722	-0.043567	-0.080161	0.242508	-0.185335	0.678249	-0.415303	0.072659	-0.171826	-1.191106	-0.185408	-1.147493	-1.505967	-0.089488	0.413374	0.000000	-0.995879	-0.524402	0.293156	-1.480224	0.135203	-0.427222	0.000000	-0.049826	-0.419321	0.123436	0.157247	0.052238	0.080046	0.021169	-0.337586	0.268239	0.264876	0.014474	-0.209618	-0.369659	-0.157285	-0.111626	0.181201	0.108850	0.104876	0.016552	0.000000	1.155171	1.031466	-0.722968	0.594753	-0.210520	-0.192272	0.000000
0.009086	2.101690	0.936012	0.182253	0.058053	-0.019339	0.981346	0.107259	0.291119	0.022664	0.601059	-0.477435	-0.041697	-0.080071	0.236490	-0.180884	0.684570	-0.414204	0.068873	-0.178379	-1.193142	-0.187314	-1.144438	-1.503044	-0.087213	0.413432	0.000000	-0.971982	-0.503596	0.277716	-1.468088	0.131052	-0.431128	0.000000	-0.092689	-0.418147	0.163644	0.192907	0.000065	0.102458	-0.024702	-0.300394	0.200503	0.449453	0.106955	-0.185616	-0.269913	-0.046983	-0.091106	0.097924	0.172111	0.123411	-0.014253	0.000000	1.158154	0.904712	-0.743691	0.567380	-0.162978	-0.188459	0.000000
0.007645	2.100240	0.935085	0.178323	0.061128	-0.019407	0.981880	0.105005	0.282708	0.026938	0.605423	-0.477720	-0.039468	-0.081149	0.230492	-0.177315	0.696227	-0.411024	0.065234	-0.182623	-1.192985	-0.189052	-1.143577	-1.499083	-0.084551	0.412804	0.000000	-0.949552	-0.488213	0.263409	-1.457529	0.128684	-0.434760	0.000000	-0.106386	-0.415809	0.227949	0.233535	0.008167	0.119669	-0.051155	-0.290112	0.057317	0.810930	0.279113	-0.180017	-0.170214	0.066239	-0.110640	0.006053	0.195864	0.144638	-0.042968	0.000000	1.012389	0.595174	-0.674313	0.444993	-0.064649	-0.175563	0.000000
0.006501	2.099213	0.934232	0.174255	0.064636	-0.019280	0.982388	0.103003	0.274487	0.031782	0.610400	-0.477108	-0.036910	-0.082117	0.224886	-0.178591	0.717007	-0.403039	0.061672	-0.185187	-1.190492	-0.191740	-1.144196	-1.495210	-0.081428	0.411713	0.000000	-0.931487	-0.479789	0.250743	-1.450289	0.128466	-0.438151	0.000000	-0.045031	-0.460376	0.250310	0.249168	0.044823	0.112325	0.006478	-0.363008	-0.253347	1.376267	0.549228	-0.150752	-0.106497	0.193802	-0.173370	-0.052032	0.176057	0.169880	-0.058839	0.000000	0.765733	0.252921	-0.587062	0.261033	0.038314	-0.162423	0.000000
0.005806	2.098894	0.933577	0.169391	0.068436	-0.019817	0.982970	0.103204	0.264293	0.036950	0.615390	-0.475927	-0.034975	-0.080890	0.215972	-0.187449	0.751278	-0.389055	0.059204	-0.186883	-1.185233	-0.195987	-1.145658	-1.492040	-0.077756	0.410450	0.000000	-0.918923	-0.478097	0.239926	-1.447087	0.130216	-0.441257	0.000000	0.066451	-0.498864	0.281419	0.214590	0.056375	0.066238	0.102248	-0.433213	-0.810966	2.247766	0.943561	-0.051652	-0.024263	0.374836	-0.232984	-0.059772	0.165704	0.201873	-0.059447	0.000000	0.493722	-0.068786	-0.461425	0.057018	0.129188	-0.137156	0.000000
0.005938	2.099166	0.933219	0.164714	0.072455	-0.020980	0.983453	0.105661	0.254533	0.043039	0.618984	-0.474853	-0.034261	-0.078027	0.207557	-0.211030	0.806918	-0.365297	0.059606	-0.186158	-1.175499	-0.201059	-1.146587	-1.488582	-0.073353	0.409336	0.000000	-0.911738	-0.482540	0.232286	-1.448008	0.133634	-0.443637	0.000000	0.193645	-0.439772	0.286685	0.086398	-0.037425	-0.064154	0.195105	-0.335330	-1.840799	3.631559	1.607871	0.110209	0.052864	0.615010	-0.245360	-0.025508	0.201979	0.238647	-0.052708	0.000000	0.249356	-0.332269	-0.274596	-0.143850	0.199119	-0.091485	0.000000
0.007268	2.100508	0.932355	0.161533	0.075493	-0.022734	0.983713	0.110950	0.246702	0.048418	0.618846	-0.477424	-0.037541	-0.073086	0.202559	-0.261081	0.896540	-0.324740	0.063613	-0.184768	-1.160633	-0.205801	-1.146678	-1.483961	-0.068210	0.408342	0.000000	-0.908949	-0.491387	0.228942	-1.452841	0.138181	-0.444917	0.000000	0.216415	-0.261222	0.022089	0.062142	-0.077286	-0.220968	0.170895	-0.047140	-3.306462	5.109599	2.288336	0.438870	0.171068	0.882345	-0.172643	0.002426	0.295341	0.272928	-0.056678	0.000000	0.018501	-0.518076	-0.047506	-0.354433	0.244952	-0.032382	0.000000
0.010450	2.101479	0.931231	0.160457	0.075910	-0.023516	0.983839	0.114318	0.244084	0.043922	0.621469	-0.477945	-0.043100	-0.071191	0.205672	-0.343288	1.011302	-0.273764	0.077161	-0.179315	-1.140205	-0.207965	-1.146490	-1.476768	-0.062436	0.407068	0.000000	-0.910998	-0.503263	0.230386	-1.462185	0.143432	-0.444932	0.000000	0.121260	-0.078170	-0.430096	0.312506	0.027368	-0.297633	0.017643	0.355293	-4.394478	5.780931	2.670076	0.937165	0.410862	1.165012	-0.010125	-0.017774	0.441813	0.300639	-0.087249	0.000000	-0.195959	-0.654688	0.175569	-0.544950	0.269051	0.033583	0.000000
0.014456	2.102533	0.930092	0.160001	0.075302	-0.023426	0.983962	0.115800	0.243576	0.031214	0.631346	-0.476329	-0.049447	-0.072380	0.216770	-0.436860	1.127777	-0.217937	0.101099	-0.168334	-1.114033	-0.206206	-1.147389	-1.466289	-0.056185	0.404852	0.000000	-0.916787	-0.517575	0.235965	-1.474639	0.148943	-0.443573	0.000000	0.025576	0.060885	-0.922072	0.643829	0.079612	-0.288200	-0.169456	0.796705	-4.897901	5.642831	2.915220	1.217086	0.629436	1.449400	0.220516	-0.106788	0.618696	0.319904	-0.148294	0.000000	-0.350694	-0.657010	0.351517	-0.670817	0.238548	0.110078	0.000000
