body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
0.078036	2.153045	0.927157	0.072458	-0.002390	-0.000523	0.997369	0.032631	0.144699	-0.343792	0.773224	-0.466883	-0.079416	-0.067901	0.067897	-0.407315	0.783479	-0.444798	0.092960	0.044519	0.021737	0.154284	-0.163363	-0.263082	0.149778	0.066654	0.000000	-0.034139	-0.160187	0.390959	-0.229668	-0.100606	-0.046917	0.000000	0.003482	-0.003026	0.001912	-0.000414	-0.000055	0.000501	0.003480	-0.001125	0.002700	0.000523	-0.000177	0.001852	0.000578	0.034662	-0.006622	0.016353	-0.029618	0.009296	0.008206	0.000000	0.030957	-0.024950	-0.053297	-0.011130	-0.009202	-0.011214	0.000000
0.078105	2.153065	0.927144	0.072469	-0.002335	-0.000543	0.997368	0.032702	0.144681	-0.343714	0.773197	-0.466890	-0.079432	-0.067820	0.067946	-0.407251	0.783505	-0.444803	0.092993	0.044579	0.022369	0.154093	-0.163030	-0.263617	0.149934	0.066831	0.000000	-0.033536	-0.160661	0.389900	-0.229870	-0.100760	-0.047184	0.000000	0.003227	-0.002857	0.000831	-0.000137	0.000153	-0.001147	0.003293	-0.001157	0.001913	0.001146	0.001537	-0.000388	0.006011	0.026086	-0.014096	0.019650	-0.027129	0.007842	0.006909	0.000000	0.031129	-0.026392	-0.051518	-0.003588	-0.006329	-0.015257	0.000000
0.078182	2.153073	0.927142	0.072384	-0.002306	-0.000552	0.997374	0.032760	0.144585	-0.343759	0.773219	-0.466876	-0.079462	-0.067769	0.067851	-0.407238	0.783525	-0.444737	0.092945	0.044760	0.022781	0.153720	-0.162577	-0.264167	0.150092	0.066931	0.000000	-0.032894	-0.161242	0.388898	-0.229812	-0.100859	-0.047527	0.000000	0.003794	-0.007956	-0.006390	0.000489	0.000814	-0.001972	0.003779	-0.009475	-0.002937	0.001484	0.001540	0.002578	0.007308	0.019850	-0.017152	0.016303	-0.025491	0.006445	0.003280	0.000000	0.030426	-0.026794	-0.046848	0.004752	-0.003853	-0.017456	0.000000
0.078313	2.153099	0.927134	0.072249	-0.002281	-0.000590	0.997384	0.032854	0.144362	-0.343970	0.773217	-0.466857	-0.079511	-0.067668	0.067567	-0.407369	0.783564	-0.444741	0.093096	0.044872	0.023163	0.153407	-0.162377	-0.264637	0.150192	0.066962	0.000000	-0.032319	-0.161733	0.388026	-0.229680	-0.100914	-0.047882	0.000000	0.003502	-0.002042	-0.002360	0.000125	0.000500	-0.006550	0.003045	-0.002398	-0.002476	0.001894	0.001938	0.005463	0.010816	0.020693	-0.012106	0.007247	-0.018239	0.004041	0.002583	0.000000	0.028078	-0.021183	-0.031756	0.003281	-0.000287	-0.016720	0.000000
0.078369	2.153099	0.927139	0.072319	-0.002247	-0.000603	0.997379	0.032900	0.144503	-0.343854	0.773224	-0.466856	-0.079724	-0.067647	0.067755	-0.407337	0.783601	-0.444659	0.093163	0.045192	0.023608	0.153236	-0.162287	-0.264897	0.150253	0.067034	0.000000	-0.031771	-0.162090	0.387628	-0.229680	-0.100871	-0.048196	0.000000	0.002297	0.000292	-0.000261	-0.000679	0.003429	-0.006674	0.001645	0.001426	-0.000631	-0.000337	0.002144	0.002152	0.008588	0.019516	-0.009325	0.006426	-0.012714	0.003265	0.004263	0.000000	0.023437	-0.016729	-0.016401	-0.001156	0.002548	-0.016155	0.000000
0.078518	2.153110	0.927131	0.072240	-0.002187	-0.000618	0.997385	0.032946	0.144374	-0.343980	0.773189	-0.466720	-0.079778	-0.067603	0.067624	-0.407394	0.783551	-0.444656	0.093183	0.045215	0.023943	0.153034	-0.162120	-0.265145	0.150323	0.067133	0.000000	-0.031382	-0.162402	0.387370	-0.229726	-0.100812	-0.048528	0.000000	0.003379	-0.004619	-0.009004	0.000399	0.006159	-0.004579	0.003416	-0.006405	-0.005031	-0.001492	0.001916	0.004270	0.001641	0.015507	-0.008529	0.010634	-0.010598	0.003435	0.005875	0.000000	0.016318	-0.013371	-0.015470	-0.002847	0.002212	-0.013139	0.000000
0.078634	2.153109	0.927135	0.072205	-0.002178	-0.000646	0.997387	0.033035	0.144318	-0.344214	0.773240	-0.466610	-0.079907	-0.067511	0.067499	-0.407539	0.783541	-0.444583	0.093334	0.045258	0.024229	0.152894	-0.161862	-0.265321	0.150391	0.067269	0.000000	-0.031118	-0.162624	0.387009	-0.229794	-0.100782	-0.048721	0.000000	0.005435	-0.000041	-0.014663	0.003567	0.004430	-0.005640	0.006020	-0.003025	-0.010956	-0.000241	0.006965	0.004834	0.002693	0.011781	-0.006078	0.013607	-0.007623	0.003571	0.006398	0.000000	0.005700	-0.018234	-0.031943	0.008204	0.001217	-0.012771	0.000000
0.078793	2.153115	0.927133	0.072165	-0.002236	-0.000701	0.997390	0.033164	0.144372	-0.344567	0.773332	-0.466543	-0.080003	-0.067362	0.067503	-0.407832	0.783541	-0.444377	0.093376	0.045323	0.024415	0.152791	-0.161576	-0.265450	0.150466	0.067388	0.000000	-0.031154	-0.163132	0.386093	-0.229398	-0.100763	-0.049039	0.000000	0.005827	0.003807	-0.011864	0.002870	0.005125	-0.001802	0.006710	0.000963	-0.012312	0.001217	0.009028	0.003279	0.000361	0.012756	-0.001519	0.013216	-0.001832	0.003316	0.005699	0.000000	-0.006155	-0.014608	-0.018747	0.011891	0.004778	-0.011381	0.000000
0.078926	2.153152	0.927144	0.072250	-0.002205	-0.000745	0.997384	0.033268	0.144471	-0.344688	0.773355	-0.466405	-0.079980	-0.067242	0.067538	-0.408031	0.783590	-0.444222	0.093465	0.045273	0.024739	0.152834	-0.161333	-0.265394	0.150523	0.067497	0.000000	-0.031365	-0.163209	0.386259	-0.229319	-0.100591	-0.049177	0.000000	0.004079	0.008281	-0.002297	0.001256	0.006934	0.003986	0.004012	0.008730	-0.007144	0.002605	0.010169	0.002028	-0.006962	0.017616	0.003278	0.020725	0.007541	0.003907	0.006861	0.000000	-0.015172	0.002284	0.015661	-0.003498	0.008246	-0.002592	0.000000
0.079025	2.153166	0.927162	0.072310	-0.002168	-0.000760	0.997380	0.033327	0.144704	-0.344659	0.773382	-0.466266	-0.079844	-0.067201	0.067852	-0.408118	0.783645	-0.443970	0.093457	0.045044	0.025119	0.152922	-0.160747	-0.265149	0.150622	0.067663	0.000000	-0.031761	-0.163040	0.386719	-0.229538	-0.100434	-0.049143	0.000000	0.001934	0.015631	0.006317	0.000428	0.003284	0.008378	0.000449	0.018505	-0.002866	0.002296	0.010002	0.001568	-0.018314	0.020104	0.003548	0.041225	0.016969	0.006304	0.008981	0.000000	-0.022516	0.014040	0.024194	-0.019249	0.006393	0.007263	0.000000
