body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.192596,0.006549,0.751332,0.743526,0.011276,0.050660,-0.666690,-0.320038,-0.461747,0.006187,-0.040589,0.712604,-0.433146,0.150255,0.504200,0.217524,0.444483,0.816316,-0.343103,-0.015899,0.056691,0.490082,-0.218597,-1.383799,-0.327417,-0.000331,0.464294,-1.549586,-0.602715,0.584649,0.409302,1.082197,-0.784554,0.004078,-0.249765,-0.044167,0.443538,0.532543,-0.275496,0.151780,-0.363284,2.384693,-0.333063,0.463913,2.090037,1.767152,-2.956428,-4.945740,-0.176373
0.190907,0.005273,0.751517,0.740608,0.013240,0.052129,-0.669781,-0.323049,-0.454327,0.012152,-0.026526,0.699028,-0.431938,0.145953,0.502030,0.224197,0.452063,0.808076,-0.340560,-0.021619,0.098621,0.481762,-0.203047,-1.343155,-0.290947,-0.057028,0.364101,-1.552088,0.153741,0.191216,0.214421,0.420549,-0.547059,0.092436,-0.183070,-0.129530,0.240089,0.272947,-0.476670,0.099982,-0.191476,1.866085,-0.491391,1.063770,1.957899,1.847257,-2.643668,-4.988620,-0.073537
0.189185,0.004560,0.751654,0.736154,0.014999,0.053423,-0.674536,-0.313888,-0.454098,0.014764,-0.023767,0.690722,-0.429448,0.142932,0.499019,0.227127,0.455401,0.797249,-0.339103,-0.023558,0.131335,0.470426,-0.176046,-1.305483,-0.253527,-0.106078,0.264750,-1.552528,0.577158,-0.092219,0.054533,-0.047324,-0.272894,0.110505,-0.087139,-0.183617,0.044130,0.048640,-0.554521,-0.011668,-0.018438,1.469285,-0.607403,1.505604,1.803267,1.840055,-2.234227,-4.844618,0.033897
0.187540,0.004130,0.751627,0.731956,0.016433,0.054043,-0.679006,-0.299963,-0.458015,0.014333,-0.028419,0.688112,-0.427518,0.142468,0.494685,0.225962,0.454008,0.785895,-0.341027,-0.022356,0.157393,0.457466,-0.142822,-1.271025,-0.217345,-0.146397,0.170317,-1.550732,0.794658,-0.280003,-0.081097,-0.346671,-0.061110,0.120347,0.004081,-0.216927,-0.125175,-0.171495,-0.591552,-0.112952,0.060439,1.162032,-0.654469,1.719642,1.645127,1.760493,-1.857698,-4.501547,0.156969
0.185991,0.004114,0.751571,0.727900,0.017789,0.054307,-0.683298,-0.282102,-0.465298,0.011520,-0.037634,0.688277,-0.424634,0.143095,0.490342,0.222120,0.448541,0.773587,-0.343621,-0.021140,0.177816,0.444247,-0.107260,-1.239678,-0.183107,-0.180386,0.084688,-1.546249,0.986385,-0.453837,-0.234146,-0.625107,0.048290,0.175348,0.072707,-0.196420,-0.274795,-0.413232,-0.644726,-0.138340,0.015547,0.894865,-0.635942,1.792871,1.483697,1.660901,-1.571506,-3.973722,0.307059
0.184795,0.004524,0.751429,0.724459,0.019353,0.054346,-0.686900,-0.260507,-0.476169,0.004967,-0.053423,0.690044,-0.420504,0.145376,0.486828,0.214971,0.437479,0.760106,-0.346560,-0.021734,0.193187,0.432028,-0.071108,-1.211677,-0.150909,-0.209257,0.011368,-1.538450,1.137260,-0.603299,-0.400405,-0.904793,0.135373,0.206636,0.140320,-0.155918,-0.413843,-0.654745,-0.673375,-0.174055,-0.072035,0.647700,-0.569486,1.803834,1.318437,1.573104,-1.412607,-3.353198,0.493580
0.183971,0.005201,0.751087,0.721614,0.020976,0.054214,-0.689851,-0.236611,-0.489430,-0.004496,-0.073825,0.693692,-0.416369,0.148708,0.484105,0.205566,0.422352,0.746652,-0.350584,-0.024022,0.203724,0.421468,-0.035107,-1.186941,-0.120183,-0.236890,-0.049440,-1.526506,1.246081,-0.701533,-0.520751,-1.098188,0.226514,0.205693,0.190132,-0.122011,-0.497342,-0.841581,-0.651698,-0.234346,-0.137412,0.357821,-0.476346,1.768032,1.117641,1.478410,-1.359238,-2.617557,0.709909
0.183453,0.006105,0.750562,0.718931,0.022481,0.054056,-0.692612,-0.210664,-0.504230,-0.015863,-0.097351,0.699104,-0.412276,0.152981,0.481948,0.195077,0.403816,0.734038,-0.355934,-0.027231,0.207500,0.412974,-0.000386,-1.166971,-0.091772,-0.263626,-0.093335,-1.510054,1.403589,-0.821264,-0.640090,-1.281416,0.338593,0.230047,0.274873,-0.080875,-0.554760,-0.987101,-0.623035,-0.284715,-0.128385,-0.045425,-0.395180,1.779415,0.880343,1.405568,-1.355882,-1.764303,0.966311
0.183246,0.007458,0.749847,0.715811,0.023943,0.053905,-0.695799,-0.180468,-0.522281,-0.030100,-0.125082,0.707236,-0.407167,0.159703,0.480870,0.183376,0.382868,0.721730,-0.361972,-0.029157,0.201907,0.405661,0.036070,-1.151727,-0.063960,-0.291126,-0.120012,-1.487853,1.654277,-0.988293,-0.780076,-1.511249,0.550278,0.258099,0.428808,-0.061188,-0.621930,-1.140904,-0.580452,-0.338735,-0.072588,-0.589076,-0.401133,2.098929,0.739837,1.567728,-1.527204,-1.002915,1.397288
0.183011,0.009197,0.748960,0.712022,0.024969,0.053478,-0.699672,-0.144493,-0.543762,-0.047066,-0.157801,0.721115,-0.401952,0.170133,0.479500,0.170200,0.358180,0.710820,-0.369484,-0.030134,0.183937,0.396929,0.083571,-1.137378,-0.029063,-0.324714,-0.133451,-1.454162,1.531263,-0.815630,-0.691194,-1.196495,0.546336,0.230171,0.543113,-0.024626,-0.532791,-0.937339,-0.426410,-0.377195,-0.063960,-0.789710,-0.328784,1.813417,0.499788,1.334767,-1.254480,-0.295078,1.326597
