body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000364,0.013052,0.758519,0.658770,-0.010533,-0.002460,-0.752267,0.030133,-0.369585,-0.028779,-0.238423,0.729306,-0.392452,0.133435,0.287544,0.100115,0.334588,0.609932,-0.293411,-0.077890,-0.090126,0.064351,-0.817750,-0.179557,-0.074268,-0.006958,0.487840,-0.069892,0.002926,-0.007347,-0.003571,0.012126,-0.001097,0.013877,0.000724,0.008935,-0.003597,0.023425,-0.010711,0.004451,0.003305,-0.026149,0.011033,-0.003445,-0.077220,-0.007906,0.007032,0.046080,-0.045872
0.000376,0.013202,0.758527,0.658643,-0.010514,-0.002500,-0.752378,0.030177,-0.369787,-0.028807,-0.238129,0.729306,-0.392177,0.133372,0.287738,0.100064,0.335044,0.609694,-0.293375,-0.077717,-0.090609,0.064580,-0.817802,-0.181082,-0.074414,-0.006824,0.488776,-0.070805,0.002077,-0.009256,-0.004695,0.008745,-0.002797,0.008634,-0.000460,0.011845,-0.003154,0.024691,-0.010961,0.005490,0.007658,-0.022050,0.011722,-0.002415,-0.075314,-0.006826,0.006277,0.047261,-0.045458
0.000401,0.013336,0.758530,0.658468,-0.010481,-0.002543,-0.752531,0.030216,-0.369955,-0.028966,-0.238073,0.729194,-0.392106,0.133417,0.288017,0.099989,0.335575,0.609494,-0.293192,-0.077583,-0.091008,0.064820,-0.817847,-0.182569,-0.074541,-0.006707,0.489730,-0.071711,0.002524,-0.011804,-0.007747,0.000339,-0.004950,0.007495,0.000063,0.015870,-0.001949,0.025760,-0.009024,0.011232,0.002421,-0.018157,0.012157,-0.002585,-0.073566,-0.006020,0.005465,0.047524,-0.045091
0.000422,0.013495,0.758546,0.658373,-0.010458,-0.002554,-0.752615,0.030278,-0.370259,-0.029117,-0.238116,0.729108,-0.391877,0.133374,0.288372,0.099986,0.336074,0.609333,-0.292926,-0.077620,-0.091336,0.065067,-0.817905,-0.184025,-0.074654,-0.006606,0.490677,-0.072609,0.002132,-0.016344,-0.006338,-0.003355,-0.003763,0.009605,-0.005034,0.018670,-0.000065,0.022980,-0.007644,0.008366,0.004567,-0.014850,0.012333,-0.003691,-0.072094,-0.005634,0.004734,0.046316,-0.044812
0.000444,0.013634,0.758556,0.658314,-0.010427,-0.002553,-0.752667,0.030302,-0.370609,-0.029220,-0.238208,0.729044,-0.391722,0.133215,0.288764,0.099986,0.336495,0.609188,-0.292857,-0.077401,-0.091602,0.065314,-0.817995,-0.185453,-0.074766,-0.006517,0.491583,-0.073503,0.000791,-0.021554,-0.001946,-0.000692,-0.000697,0.014054,-0.004761,0.019795,0.000112,0.019227,-0.003690,0.007273,0.007402,-0.011843,0.012141,-0.005949,-0.070823,-0.005500,0.004033,0.044011,-0.044617
0.000469,0.013758,0.758572,0.658287,-0.010387,-0.002544,-0.752691,0.030309,-0.371121,-0.029195,-0.238144,0.729080,-0.391315,0.133184,0.289164,0.099991,0.336843,0.609186,-0.292635,-0.077324,-0.091809,0.065552,-0.818143,-0.186857,-0.074874,-0.006444,0.492437,-0.074394,-0.001544,-0.021026,-0.003086,-0.002872,-0.000988,0.013132,-0.004939,0.020409,0.001170,0.017345,0.000298,0.010545,0.004258,-0.009069,0.011627,-0.009538,-0.069749,-0.005472,0.003351,0.041504,-0.044480
0.000495,0.013893,0.758586,0.658279,-0.010374,-0.002536,-0.752698,0.030240,-0.371450,-0.029343,-0.238322,0.729004,-0.391197,0.133018,0.289581,0.100033,0.337188,0.609200,-0.292435,-0.077230,-0.091965,0.065779,-0.818376,-0.188243,-0.074985,-0.006383,0.493243,-0.075282,-0.003305,-0.016969,-0.003633,-0.009013,-0.001803,0.009307,-0.003735,0.019518,0.002204,0.015554,0.002606,0.009736,0.003329,-0.006632,0.010845,-0.014298,-0.068932,-0.005534,0.002723,0.038886,-0.044373
0.000518,0.013997,0.758589,0.658327,-0.010369,-0.002525,-0.752656,0.030177,-0.371800,-0.029340,-0.238504,0.729008,-0.390943,0.133034,0.289945,0.100079,0.337465,0.609290,-0.292245,-0.077191,-0.092075,0.065986,-0.818715,-0.189615,-0.075096,-0.006335,0.493993,-0.076169,-0.003230,-0.017158,-0.001683,-0.015963,-0.002719,0.011885,-0.001173,0.019153,0.003896,0.013030,0.003591,0.010013,-0.002407,-0.004579,0.009908,-0.019947,-0.068367,-0.005368,0.002196,0.036000,-0.044228
0.000532,0.014112,0.758599,0.658374,-0.010360,-0.002494,-0.752615,0.030111,-0.372136,-0.029411,-0.238961,0.728895,-0.390721,0.132971,0.290347,0.100189,0.337710,0.609343,-0.292035,-0.077327,-0.092148,0.066175,-0.819174,-0.190978,-0.075200,-0.006296,0.494683,-0.077051,-0.003104,-0.017303,-0.002232,-0.018875,-0.002035,0.010938,-0.001617,0.017649,0.005051,0.009418,0.002959,0.005656,0.000841,-0.002904,0.008893,-0.025418,-0.067997,-0.005051,0.001890,0.033247,-0.044015
0.000536,0.014212,0.758602,0.658416,-0.010358,-0.002478,-0.752579,0.030053,-0.372492,-0.029429,-0.239259,0.728927,-0.390505,0.132970,0.290651,0.100281,0.337842,0.609408,-0.292019,-0.077157,-0.092191,0.066342,-0.819732,-0.192335,-0.075298,-0.006260,0.495323,-0.077929,-0.002660,-0.015514,-0.003715,-0.018204,-0.000238,0.003541,-0.002365,0.014357,0.003283,0.005157,0.004952,0.005053,0.005323,-0.001515,0.007853,-0.030699,-0.067730,-0.004850,0.001645,0.030543,-0.043812
0.000542,0.014288,0.758610,0.658492,-0.010367,-0.002460,-0.752512,0.030004,-0.372757,-0.029559,-0.239689,0.728886,-0.390580,0.132876,0.290921,0.100320,0.337916,0.609541,-0.291833,-0.077114,-0.092209,0.066489,-0.820402,-0.193687,-0.075394,-0.006230,0.495905,-0.078804,-0.001459,-0.016094,-0.001591,-0.013862,0.002596,0.001230,-0.004736,0.011837,0.002613,-0.000696,0.004923,0.003280,0.006800,-0.000475,0.006882,-0.035967,-0.067465,-0.004588,0.001537,0.028177,-0.043564
0.000536,0.014380,0.758615,0.658556,-0.010369,-0.002456,-0.752457,0.029994,-0.373136,-0.029493,-0.239814,0.729030,-0.390456,0.132780,0.291124,0.100385,0.337814,0.609605,-0.291888,-0.076885,-0.092210,0.066617,-0.821170,-0.195033,-0.075481,-0.006198,0.496450,-0.079672,-0.002969,-0.012738,-0.002386,-0.015841,0.004815,0.004327,0.002187,0.007582,0.001343,-0.000757,0.002448,-0.002589,0.006099,0.000291,0.005929,-0.040482,-0.067097,-0.004298,0.001608,0.026602,-0.043263
0.000531,0.014434,0.758618,0.658630,-0.010376,-0.002465,-0.752392,0.029886,-0.373266,-0.029655,-0.240323,0.729078,-0.390407,0.132964,0.291224,0.100374,0.337885,0.609639,-0.291936,-0.076870,-0.092197,0.066726,-0.822021,-0.196371,-0.075566,-0.006165,0.496969,-0.080534,-0.001907,-0.010487,-0.003952,-0.016178,0.004709,0.004579,0.007152,0.005956,0.000463,0.002319,0.002147,0.002768,-0.003060,0.000661,0.005077,-0.043985,-0.066639,-0.003992,0.001725,0.025443,-0.042998
0.000521,0.014489,0.758613,0.658652,-0.010373,-0.002465,-0.752373,0.029918,-0.373555,-0.029651,-0.240461,0.729219,-0.390273,0.133066,0.291363,0.100404,0.337907,0.609691,-0.291777,-0.077008,-0.092183,0.066820,-0.822930,-0.197699,-0.075641,-0.006129,0.497467,-0.081392,0.001620,-0.013277,0.001728,-0.001790,0.006188,0.001353,-0.008751,0.006452,0.001861,0.000098,0.002880,0.004694,0.000345,0.000543,0.004659,-0.046457,-0.066122,-0.003638,0.001994,0.024465,-0.042729
0.000503,0.014537,0.758620,0.658657,-0.010383,-0.002476,-0.752368,0.029950,-0.373797,-0.029586,-0.240394,0.729326,-0.390353,0.132614,0.291482,0.100448,0.337889,0.609755,-0.291749,-0.076856,-0.092175,0.066913,-0.823880,-0.199016,-0.075711,-0.006086,0.497948,-0.082244,0.000587,-0.006281,0.002504,-0.002641,0.004914,-0.004577,-0.011341,0.004123,0.003376,0.003076,0.004463,0.005455,-0.000102,0.000448,0.004555,-0.047672,-0.065490,-0.003350,0.002446,0.023413,-0.042456
0.000477,0.014553,0.758619,0.658643,-0.010389,-0.002486,-0.752380,0.029942,-0.373807,-0.029551,-0.240566,0.729415,-0.390456,0.132613,0.291527,0.100539,0.338030,0.609870,-0.291559,-0.077012,-0.092165,0.067002,-0.824837,-0.200318,-0.075775,-0.006031,0.498404,-0.083090,0.000828,-0.000874,0.000759,-0.009503,0.006561,0.001459,0.005820,0.001400,0.005615,0.004832,0.004987,0.005736,-0.004669,0.000484,0.004628,-0.047314,-0.064776,-0.002829,0.003035,0.022820,-0.042079
0.000442,0.014585,0.758634,0.658593,-0.010417,-0.002498,-0.752423,0.029983,-0.373832,-0.029555,-0.240775,0.729588,-0.390294,0.132846,0.291538,0.100673,0.338083,0.609954,-0.291519,-0.077043,-0.092156,0.067098,-0.825772,-0.201607,-0.075824,-0.005964,0.498860,-0.083927,0.002455,-0.003466,0.000605,-0.005374,0.009152,0.007442,0.007272,0.000263,0.004429,0.002127,0.003716,-0.000180,0.000171,0.000283,0.005074,-0.045902,-0.064111,-0.002318,0.003508,0.023304,-0.041647
